----------------------------------------------------------------------------------------------------
| Vardas               | Pavarde              | ND1 | ND2 | ND3 | ND4 | Egzaminas | Galutinis (Vid)      |
| Vardas46             | Pavarde46            | 1    | 9    | 9    | 1    | 7        | 6.20                 |
| Vardas47             | Pavarde47            | 9    | 2    | 10   | 9    | 3        | 4.80                 |
| Vardas48             | Pavarde48            | 8    | 3    | 3    | 9    | 5        | 5.30                 |
| Vardas49             | Pavarde49            | 9    | 10   | 1    | 8    | 5        | 5.80                 |
| Vardas50             | Pavarde50            | 2    | 6    | 9    | 7    | 5        | 5.40                 |
| Vardas51             | Pavarde51            | 3    | 5    | 3    | 6    | 0        | 1.70                 |
| Vardas52             | Pavarde52            | 7    | 3    | 7    | 6    | 9        | 7.70                 |
| Vardas53             | Pavarde53            | 10   | 3    | 5    | 7    | 2        | 3.70                 |
| Vardas54             | Pavarde54            | 9    | 3    | 2    | 2    | 1        | 2.20                 |
| Vardas55             | Pavarde55            | 8    | 7    | 3    | 10   | 4        | 5.20                 |
| Vardas56             | Pavarde56            | 3    | 1    | 1    | 4    | 7        | 5.10                 |
| Vardas57             | Pavarde57            | 2    | 9    | 2    | 10   | 9        | 7.70                 |
| Vardas58             | Pavarde58            | 4    | 3    | 6    | 3    | 0        | 1.60                 |
| Vardas59             | Pavarde59            | 9    | 7    | 8    | 8    | 9        | 8.60                 |
| Vardas60             | Pavarde60            | 3    | 10   | 5    | 2    | 7        | 6.20                 |
| Vardas61             | Pavarde61            | 7    | 10   | 9    | 3    | 8        | 7.70                 |
| Vardas62             | Pavarde62            | 6    | 5    | 10   | 2    | 8        | 7.10                 |
| Vardas63             | Pavarde63            | 6    | 1    | 9    | 4    | 2        | 3.20                 |
| Vardas64             | Pavarde64            | 4    | 10   | 7    | 8    | 0        | 2.90                 |
| Vardas65             | Pavarde65            | 10   | 8    | 7    | 10   | 6        | 7.10                 |
| Vardas66             | Pavarde66            | 6    | 8    | 7    | 7    | 1        | 3.40                 |
| Vardas67             | Pavarde67            | 9    | 3    | 6    | 5    | 8        | 7.10                 |
| Vardas68             | Pavarde68            | 2    | 7    | 2    | 7    | 9        | 7.20                 |
| Vardas69             | Pavarde69            | 4    | 6    | 6    | 4    | 10       | 8.00                 |
| Vardas70             | Pavarde70            | 9    | 3    | 6    | 4    | 3        | 4.00                 |
| Vardas71             | Pavarde71            | 2    | 9    | 7    | 3    | 8        | 6.90                 |
| Vardas72             | Pavarde72            | 5    | 7    | 3    | 10   | 5        | 5.50                 |
| Vardas73             | Pavarde73            | 6    | 1    | 4    | 7    | 10       | 7.80                 |
| Vardas74             | Pavarde74            | 10   | 3    | 10   | 4    | 4        | 5.10                 |
| Vardas75             | Pavarde75            | 5    | 1    | 6    | 10   | 8        | 7.00                 |
| Vardas76             | Pavarde76            | 4    | 5    | 3    | 9    | 4        | 4.50                 |
| Vardas77             | Pavarde77            | 8    | 6    | 9    | 2    | 5        | 5.50                 |
| Vardas78             | Pavarde78            | 6    | 8    | 5    | 5    | 7        | 6.60                 |
| Vardas79             | Pavarde79            | 5    | 5    | 3    | 10   | 8        | 7.10                 |
| Vardas80             | Pavarde80            | 1    | 8    | 8    | 9    | 4        | 5.00                 |
| Vardas81             | Pavarde81            | 4    | 1    | 4    | 9    | 10       | 7.80                 |
| Vardas82             | Pavarde82            | 6    | 3    | 1    | 4    | 4        | 3.80                 |
| Vardas83             | Pavarde83            | 3    | 10   | 8    | 6    | 3        | 4.50                 |
| Vardas84             | Pavarde84            | 5    | 4    | 3    | 2    | 2        | 2.60                 |
| Vardas85             | Pavarde85            | 4    | 3    | 6    | 4    | 10       | 7.70                 |
| Vardas86             | Pavarde86            | 2    | 3    | 3    | 3    | 2        | 2.30                 |
| Vardas87             | Pavarde87            | 5    | 1    | 8    | 1    | 6        | 5.10                 |
| Vardas88             | Pavarde88            | 5    | 1    | 1    | 6    | 0        | 1.30                 |
| Vardas89             | Pavarde89            | 2    | 1    | 7    | 8    | 3        | 3.60                 |
| Vardas90             | Pavarde90            | 1    | 1    | 5    | 6    | 9        | 6.70                 |
| Vardas91             | Pavarde91            | 10   | 6    | 7    | 5    | 9        | 8.20                 |
| Vardas92             | Pavarde92            | 3    | 2    | 7    | 9    | 10       | 8.10                 |
| Vardas93             | Pavarde93            | 2    | 5    | 9    | 5    | 10       | 8.10                 |
| Vardas94             | Pavarde94            | 3    | 1    | 8    | 1    | 1        | 1.90                 |
| Vardas95             | Pavarde95            | 1    | 8    | 1    | 6    | 6        | 5.20                 |
| Vardas96             | Pavarde96            | 8    | 4    | 9    | 5    | 5        | 5.60                 |
| Vardas97             | Pavarde97            | 3    | 7    | 6    | 8    | 9        | 7.80                 |
| Vardas98             | Pavarde98            | 5    | 6    | 8    | 10   | 6        | 6.50                 |
| Vardas99             | Pavarde99            | 4    | 1    | 3    | 3    | 2        | 2.30                 |
| Vardas100            | Pavarde100           | 7    | 8    | 2    | 6    | 9        | 7.70                 |
| Vardas101            | Pavarde101           | 5    | 1    | 3    | 7    | 3        | 3.40                 |
| Vardas102            | Pavarde102           | 7    | 2    | 2    | 2    | 5        | 4.30                 |
| Vardas103            | Pavarde103           | 4    | 1    | 1    | 5    | 4        | 3.50                 |
| Vardas104            | Pavarde104           | 4    | 1    | 2    | 3    | 2        | 2.20                 |
| Vardas105            | Pavarde105           | 1    | 4    | 9    | 9    | 5        | 5.30                 |
| Vardas106            | Pavarde106           | 8    | 8    | 1    | 9    | 4        | 5.00                 |
| Vardas107            | Pavarde107           | 4    | 1    | 8    | 5    | 9        | 7.20                 |
| Vardas108            | Pavarde108           | 9    | 4    | 8    | 2    | 3        | 4.10                 |
| Vardas109            | Pavarde109           | 1    | 9    | 4    | 5    | 1        | 2.50                 |
| Vardas110            | Pavarde110           | 1    | 2    | 5    | 6    | 5        | 4.40                 |
| Vardas111            | Pavarde111           | 3    | 1    | 4    | 6    | 8        | 6.20                 |
| Vardas112            | Pavarde112           | 7    | 7    | 8    | 7    | 3        | 4.70                 |
| Vardas113            | Pavarde113           | 8    | 2    | 10   | 2    | 4        | 4.60                 |
| Vardas114            | Pavarde114           | 3    | 8    | 3    | 8    | 7        | 6.40                 |
| Vardas115            | Pavarde115           | 6    | 2    | 4    | 10   | 7        | 6.40                 |
| Vardas116            | Pavarde116           | 6    | 10   | 3    | 7    | 1        | 3.20                 |
| Vardas117            | Pavarde117           | 4    | 3    | 5    | 5    | 10       | 7.70                 |
| Vardas118            | Pavarde118           | 3    | 8    | 10   | 3    | 4        | 4.80                 |
| Vardas119            | Pavarde119           | 8    | 4    | 2    | 6    | 2        | 3.20                 |
| Vardas120            | Pavarde120           | 9    | 6    | 9    | 4    | 10       | 8.80                 |
| Vardas121            | Pavarde121           | 5    | 2    | 2    | 6    | 9        | 6.90                 |
| Vardas122            | Pavarde122           | 6    | 2    | 1    | 7    | 1        | 2.20                 |
| Vardas123            | Pavarde123           | 6    | 4    | 1    | 9    | 4        | 4.40                 |
| Vardas124            | Pavarde124           | 2    | 4    | 5    | 8    | 2        | 3.10                 |
| Vardas125            | Pavarde125           | 7    | 4    | 7    | 6    | 10       | 8.40                 |
| Vardas126            | Pavarde126           | 9    | 2    | 1    | 4    | 9        | 7.00                 |
| Vardas127            | Pavarde127           | 6    | 6    | 3    | 3    | 1        | 2.40                 |
| Vardas128            | Pavarde128           | 8    | 5    | 9    | 3    | 7        | 6.70                 |
| Vardas129            | Pavarde129           | 7    | 4    | 1    | 4    | 6        | 5.20                 |
| Vardas130            | Pavarde130           | 3    | 9    | 1    | 8    | 5        | 5.10                 |
| Vardas131            | Pavarde131           | 3    | 6    | 10   | 2    | 9        | 7.50                 |
| Vardas132            | Pavarde132           | 9    | 6    | 1    | 8    | 4        | 4.80                 |
| Vardas133            | Pavarde133           | 1    | 6    | 4    | 5    | 6        | 5.20                 |
| Vardas134            | Pavarde134           | 1    | 5    | 9    | 6    | 3        | 3.90                 |
| Vardas135            | Pavarde135           | 3    | 6    | 5    | 2    | 2        | 2.80                 |
| Vardas136            | Pavarde136           | 10   | 6    | 9    | 3    | 2        | 4.00                 |
| Vardas137            | Pavarde137           | 10   | 7    | 2    | 8    | 10       | 8.70                 |
| Vardas138            | Pavarde138           | 2    | 10   | 1    | 4    | 2        | 2.90                 |
| Vardas139            | Pavarde139           | 2    | 8    | 6    | 4    | 7        | 6.20                 |
| Vardas140            | Pavarde140           | 3    | 5    | 2    | 3    | 7        | 5.50                 |
| Vardas141            | Pavarde141           | 1    | 9    | 8    | 5    | 10       | 8.30                 |
| Vardas142            | Pavarde142           | 7    | 9    | 1    | 8    | 10       | 8.50                 |
| Vardas143            | Pavarde143           | 5    | 4    | 2    | 4    | 8        | 6.30                 |
| Vardas144            | Pavarde144           | 4    | 1    | 2    | 10   | 2        | 2.90                 |
| Vardas145            | Pavarde145           | 5    | 3    | 10   | 4    | 1        | 2.80                 |
| Vardas146            | Pavarde146           | 5    | 9    | 3    | 1    | 4        | 4.20                 |
| Vardas147            | Pavarde147           | 6    | 10   | 4    | 3    | 0        | 2.30                 |
| Vardas148            | Pavarde148           | 8    | 5    | 9    | 2    | 0        | 2.40                 |
| Vardas149            | Pavarde149           | 4    | 6    | 6    | 3    | 1        | 2.50                 |
| Vardas150            | Pavarde150           | 9    | 10   | 3    | 10   | 4        | 5.60                 |
| Vardas151            | Pavarde151           | 10   | 5    | 6    | 1    | 2        | 3.40                 |
| Vardas152            | Pavarde152           | 9    | 9    | 1    | 2    | 9        | 7.50                 |
| Vardas153            | Pavarde153           | 3    | 3    | 3    | 8    | 3        | 3.50                 |
| Vardas154            | Pavarde154           | 4    | 2    | 4    | 4    | 7        | 5.60                 |
| Vardas155            | Pavarde155           | 1    | 10   | 6    | 6    | 6        | 5.90                 |
| Vardas156            | Pavarde156           | 4    | 8    | 9    | 4    | 9        | 7.90                 |
| Vardas157            | Pavarde157           | 10   | 4    | 10   | 2    | 4        | 5.00                 |
| Vardas158            | Pavarde158           | 3    | 9    | 1    | 2    | 9        | 6.90                 |
| Vardas159            | Pavarde159           | 5    | 9    | 7    | 1    | 7        | 6.40                 |
| Vardas160            | Pavarde160           | 4    | 1    | 1    | 9    | 7        | 5.70                 |
| Vardas161            | Pavarde161           | 7    | 4    | 6    | 7    | 5        | 5.40                 |
| Vardas162            | Pavarde162           | 9    | 4    | 10   | 5    | 7        | 7.00                 |
| Vardas163            | Pavarde163           | 4    | 10   | 8    | 7    | 5        | 5.90                 |
| Vardas164            | Pavarde164           | 6    | 9    | 7    | 2    | 4        | 4.80                 |
| Vardas165            | Pavarde165           | 6    | 2    | 10   | 7    | 5        | 5.50                 |
| Vardas166            | Pavarde166           | 6    | 5    | 3    | 6    | 5        | 5.00                 |
| Vardas167            | Pavarde167           | 3    | 7    | 9    | 3    | 10       | 8.20                 |
| Vardas168            | Pavarde168           | 7    | 4    | 10   | 5    | 6        | 6.20                 |
| Vardas169            | Pavarde169           | 7    | 3    | 6    | 4    | 10       | 8.00                 |
| Vardas170            | Pavarde170           | 7    | 7    | 2    | 5    | 10       | 8.10                 |
| Vardas171            | Pavarde171           | 7    | 3    | 7    | 9    | 0        | 2.60                 |
| Vardas172            | Pavarde172           | 6    | 6    | 2    | 1    | 10       | 7.50                 |
| Vardas173            | Pavarde173           | 6    | 2    | 8    | 7    | 0        | 2.30                 |
| Vardas174            | Pavarde174           | 1    | 3    | 5    | 4    | 2        | 2.50                 |
| Vardas175            | Pavarde175           | 7    | 3    | 9    | 3    | 2        | 3.40                 |
| Vardas176            | Pavarde176           | 5    | 4    | 5    | 4    | 0        | 1.80                 |
| Vardas177            | Pavarde177           | 9    | 5    | 8    | 4    | 5        | 5.60                 |
| Vardas178            | Pavarde178           | 9    | 1    | 1    | 9    | 6        | 5.60                 |
| Vardas179            | Pavarde179           | 1    | 6    | 2    | 5    | 1        | 2.00                 |
| Vardas180            | Pavarde180           | 7    | 4    | 10   | 3    | 8        | 7.20                 |
| Vardas181            | Pavarde181           | 10   | 9    | 3    | 4    | 6        | 6.20                 |
| Vardas182            | Pavarde182           | 1    | 3    | 4    | 2    | 9        | 6.40                 |
| Vardas183            | Pavarde183           | 9    | 10   | 9    | 10   | 2        | 5.00                 |
| Vardas184            | Pavarde184           | 4    | 6    | 2    | 5    | 6        | 5.30                 |
| Vardas185            | Pavarde185           | 6    | 4    | 9    | 10   | 6        | 6.50                 |
| Vardas186            | Pavarde186           | 9    | 8    | 1    | 2    | 8        | 6.80                 |
| Vardas187            | Pavarde187           | 9    | 2    | 10   | 4    | 8        | 7.30                 |
| Vardas188            | Pavarde188           | 10   | 8    | 10   | 9    | 4        | 6.10                 |
| Vardas189            | Pavarde189           | 2    | 5    | 8    | 6    | 3        | 3.90                 |
| Vardas190            | Pavarde190           | 6    | 1    | 10   | 3    | 6        | 5.60                 |
| Vardas191            | Pavarde191           | 3    | 5    | 6    | 1    | 9        | 6.90                 |
| Vardas192            | Pavarde192           | 5    | 1    | 6    | 2    | 7        | 5.60                 |
| Vardas193            | Pavarde193           | 6    | 10   | 1    | 9    | 6        | 6.20                 |
| Vardas194            | Pavarde194           | 9    | 8    | 3    | 7    | 1        | 3.30                 |
| Vardas195            | Pavarde195           | 4    | 9    | 2    | 1    | 7        | 5.80                 |
| Vardas196            | Pavarde196           | 4    | 9    | 5    | 9    | 6        | 6.30                 |
| Vardas197            | Pavarde197           | 2    | 6    | 5    | 2    | 3        | 3.30                 |
| Vardas198            | Pavarde198           | 8    | 4    | 6    | 9    | 2        | 3.90                 |
| Vardas199            | Pavarde199           | 7    | 10   | 1    | 9    | 9        | 8.10                 |
| Vardas200            | Pavarde200           | 4    | 7    | 1    | 7    | 6        | 5.50                 |
| Vardas201            | Pavarde201           | 8    | 9    | 10   | 5    | 7        | 7.40                 |
| Vardas202            | Pavarde202           | 6    | 7    | 7    | 7    | 6        | 6.30                 |
| Vardas203            | Pavarde203           | 7    | 8    | 2    | 5    | 9        | 7.60                 |
| Vardas204            | Pavarde204           | 7    | 2    | 3    | 2    | 3        | 3.20                 |
| Vardas205            | Pavarde205           | 10   | 6    | 3    | 4    | 8        | 7.10                 |
| Vardas206            | Pavarde206           | 2    | 6    | 3    | 4    | 9        | 6.90                 |
| Vardas207            | Pavarde207           | 7    | 9    | 9    | 3    | 7        | 7.00                 |
| Vardas208            | Pavarde208           | 8    | 2    | 3    | 7    | 10       | 8.00                 |
| Vardas209            | Pavarde209           | 5    | 10   | 5    | 7    | 3        | 4.50                 |
| Vardas210            | Pavarde210           | 4    | 7    | 3    | 5    | 1        | 2.50                 |
| Vardas211            | Pavarde211           | 9    | 9    | 2    | 3    | 5        | 5.30                 |
| Vardas212            | Pavarde212           | 5    | 10   | 9    | 3    | 4        | 5.10                 |
| Vardas213            | Pavarde213           | 6    | 3    | 10   | 10   | 0        | 2.90                 |
| Vardas214            | Pavarde214           | 4    | 9    | 7    | 10   | 4        | 5.40                 |
| Vardas215            | Pavarde215           | 7    | 7    | 3    | 4    | 3        | 3.90                 |
| Vardas216            | Pavarde216           | 3    | 7    | 3    | 8    | 9        | 7.50                 |
| Vardas217            | Pavarde217           | 8    | 9    | 3    | 8    | 6        | 6.40                 |
| Vardas218            | Pavarde218           | 1    | 3    | 1    | 9    | 9        | 6.80                 |
| Vardas219            | Pavarde219           | 3    | 9    | 3    | 1    | 1        | 2.20                 |
| Vardas220            | Pavarde220           | 6    | 3    | 8    | 7    | 5        | 5.40                 |
| Vardas221            | Pavarde221           | 9    | 8    | 9    | 2    | 9        | 8.20                 |
| Vardas222            | Pavarde222           | 1    | 10   | 6    | 9    | 9        | 8.00                 |
| Vardas223            | Pavarde223           | 1    | 1    | 1    | 8    | 5        | 4.10                 |
| Vardas224            | Pavarde224           | 6    | 6    | 3    | 2    | 8        | 6.50                 |
| Vardas225            | Pavarde225           | 9    | 7    | 5    | 7    | 2        | 4.00                 |
| Vardas226            | Pavarde226           | 10   | 9    | 4    | 6    | 7        | 7.10                 |
| Vardas227            | Pavarde227           | 2    | 6    | 6    | 9    | 1        | 2.90                 |
| Vardas228            | Pavarde228           | 1    | 6    | 5    | 8    | 10       | 8.00                 |
| Vardas229            | Pavarde229           | 2    | 5    | 10   | 10   | 0        | 2.70                 |
| Vardas230            | Pavarde230           | 4    | 1    | 4    | 6    | 9        | 6.90                 |
| Vardas231            | Pavarde231           | 8    | 7    | 8    | 9    | 7        | 7.40                 |
| Vardas232            | Pavarde232           | 7    | 5    | 5    | 2    | 6        | 5.50                 |
| Vardas233            | Pavarde233           | 6    | 6    | 8    | 5    | 2        | 3.70                 |
| Vardas234            | Pavarde234           | 4    | 5    | 1    | 9    | 10       | 7.90                 |
| Vardas235            | Pavarde235           | 2    | 6    | 3    | 4    | 8        | 6.30                 |
| Vardas236            | Pavarde236           | 5    | 7    | 7    | 7    | 4        | 5.00                 |
| Vardas237            | Pavarde237           | 10   | 1    | 5    | 10   | 8        | 7.40                 |
| Vardas238            | Pavarde238           | 2    | 2    | 10   | 10   | 10       | 8.40                 |
| Vardas239            | Pavarde239           | 6    | 6    | 7    | 1    | 9        | 7.40                 |
| Vardas240            | Pavarde240           | 10   | 5    | 7    | 4    | 3        | 4.40                 |
| Vardas241            | Pavarde241           | 10   | 1    | 6    | 4    | 2        | 3.30                 |
| Vardas242            | Pavarde242           | 2    | 3    | 9    | 9    | 5        | 5.30                 |
| Vardas243            | Pavarde243           | 9    | 7    | 1    | 3    | 7        | 6.20                 |
| Vardas244            | Pavarde244           | 10   | 1    | 3    | 3    | 3        | 3.50                 |
| Vardas245            | Pavarde245           | 6    | 5    | 5    | 5    | 8        | 6.90                 |
| Vardas246            | Pavarde246           | 6    | 1    | 5    | 3    | 3        | 3.30                 |
| Vardas247            | Pavarde247           | 3    | 8    | 8    | 10   | 8        | 7.70                 |
| Vardas248            | Pavarde248           | 6    | 5    | 1    | 4    | 6        | 5.20                 |
| Vardas249            | Pavarde249           | 2    | 3    | 3    | 10   | 8        | 6.60                 |
| Vardas250            | Pavarde250           | 3    | 3    | 8    | 9    | 4        | 4.70                 |
| Vardas251            | Pavarde251           | 9    | 4    | 10   | 5    | 1        | 3.40                 |
| Vardas252            | Pavarde252           | 7    | 10   | 9    | 6    | 10       | 9.20                 |
| Vardas253            | Pavarde253           | 7    | 1    | 8    | 3    | 7        | 6.10                 |
| Vardas254            | Pavarde254           | 3    | 7    | 5    | 8    | 5        | 5.30                 |
| Vardas255            | Pavarde255           | 4    | 3    | 2    | 7    | 5        | 4.60                 |
| Vardas256            | Pavarde256           | 9    | 4    | 3    | 9    | 3        | 4.30                 |
| Vardas257            | Pavarde257           | 1    | 2    | 3    | 7    | 9        | 6.70                 |
| Vardas258            | Pavarde258           | 6    | 5    | 7    | 8    | 8        | 7.40                 |
| Vardas259            | Pavarde259           | 4    | 5    | 8    | 9    | 4        | 5.00                 |
| Vardas260            | Pavarde260           | 2    | 7    | 4    | 9    | 5        | 5.20                 |
| Vardas261            | Pavarde261           | 7    | 2    | 8    | 3    | 3        | 3.80                 |
| Vardas262            | Pavarde262           | 8    | 9    | 6    | 9    | 2        | 4.40                 |
| Vardas263            | Pavarde263           | 9    | 8    | 4    | 4    | 6        | 6.10                 |
| Vardas264            | Pavarde264           | 1    | 9    | 2    | 1    | 0        | 1.30                 |
| Vardas265            | Pavarde265           | 3    | 5    | 10   | 2    | 9        | 7.40                 |
| Vardas266            | Pavarde266           | 8    | 4    | 4    | 5    | 7        | 6.30                 |
| Vardas267            | Pavarde267           | 3    | 1    | 2    | 3    | 7        | 5.10                 |
| Vardas268            | Pavarde268           | 8    | 1    | 3    | 5    | 6        | 5.30                 |
| Vardas269            | Pavarde269           | 1    | 4    | 8    | 4    | 4        | 4.10                 |
| Vardas270            | Pavarde270           | 6    | 10   | 8    | 3    | 4        | 5.10                 |
| Vardas271            | Pavarde271           | 3    | 9    | 7    | 8    | 9        | 8.10                 |
| Vardas272            | Pavarde272           | 9    | 2    | 9    | 4    | 4        | 4.80                 |
| Vardas273            | Pavarde273           | 4    | 7    | 3    | 1    | 6        | 5.10                 |
| Vardas274            | Pavarde274           | 9    | 5    | 2    | 9    | 5        | 5.50                 |
| Vardas275            | Pavarde275           | 8    | 6    | 9    | 2    | 6        | 6.10                 |
| Vardas276            | Pavarde276           | 1    | 5    | 9    | 9    | 10       | 8.40                 |
| Vardas277            | Pavarde277           | 4    | 7    | 8    | 9    | 8        | 7.60                 |
| Vardas278            | Pavarde278           | 6    | 6    | 6    | 7    | 0        | 2.50                 |
| Vardas279            | Pavarde279           | 4    | 1    | 1    | 9    | 7        | 5.70                 |
| Vardas280            | Pavarde280           | 3    | 4    | 1    | 7    | 8        | 6.30                 |
| Vardas281            | Pavarde281           | 1    | 10   | 8    | 3    | 5        | 5.20                 |
| Vardas282            | Pavarde282           | 9    | 3    | 10   | 5    | 3        | 4.50                 |
| Vardas283            | Pavarde283           | 9    | 3    | 8    | 3    | 9        | 7.70                 |
| Vardas284            | Pavarde284           | 9    | 5    | 8    | 4    | 6        | 6.20                 |
| Vardas285            | Pavarde285           | 6    | 2    | 10   | 1    | 1        | 2.50                 |
| Vardas286            | Pavarde286           | 9    | 4    | 2    | 5    | 0        | 2.00                 |
| Vardas287            | Pavarde287           | 2    | 1    | 5    | 1    | 1        | 1.50                 |
| Vardas288            | Pavarde288           | 10   | 1    | 9    | 2    | 6        | 5.80                 |
| Vardas289            | Pavarde289           | 1    | 8    | 10   | 6    | 2        | 3.70                 |
| Vardas290            | Pavarde290           | 9    | 3    | 4    | 3    | 8        | 6.70                 |
| Vardas291            | Pavarde291           | 1    | 5    | 1    | 8    | 2        | 2.70                 |
| Vardas292            | Pavarde292           | 10   | 1    | 6    | 2    | 5        | 4.90                 |
| Vardas293            | Pavarde293           | 1    | 10   | 9    | 10   | 6        | 6.60                 |
| Vardas294            | Pavarde294           | 8    | 4    | 4    | 1    | 3        | 3.50                 |
| Vardas295            | Pavarde295           | 7    | 7    | 1    | 3    | 4        | 4.20                 |
| Vardas296            | Pavarde296           | 10   | 9    | 10   | 10   | 6        | 7.50                 |
| Vardas297            | Pavarde297           | 5    | 3    | 1    | 9    | 5        | 4.80                 |
| Vardas298            | Pavarde298           | 9    | 8    | 4    | 1    | 3        | 4.00                 |
| Vardas299            | Pavarde299           | 7    | 5    | 3    | 2    | 0        | 1.70                 |
| Vardas300            | Pavarde300           | 2    | 7    | 1    | 4    | 7        | 5.60                 |
| Vardas301            | Pavarde301           | 7    | 3    | 3    | 2    | 4        | 3.90                 |
| Vardas302            | Pavarde302           | 4    | 3    | 7    | 1    | 1        | 2.10                 |
| Vardas303            | Pavarde303           | 5    | 10   | 7    | 1    | 2        | 3.50                 |
| Vardas304            | Pavarde304           | 3    | 8    | 5    | 1    | 8        | 6.50                 |
| Vardas305            | Pavarde305           | 7    | 1    | 2    | 3    | 4        | 3.70                 |
| Vardas306            | Pavarde306           | 4    | 9    | 6    | 2    | 1        | 2.70                 |
| Vardas307            | Pavarde307           | 7    | 7    | 9    | 9    | 5        | 6.20                 |
| Vardas308            | Pavarde308           | 9    | 8    | 1    | 8    | 2        | 3.80                 |
| Vardas309            | Pavarde309           | 2    | 6    | 9    | 7    | 0        | 2.40                 |
| Vardas310            | Pavarde310           | 10   | 5    | 6    | 4    | 1        | 3.10                 |
| Vardas311            | Pavarde311           | 3    | 4    | 10   | 5    | 4        | 4.60                 |
| Vardas312            | Pavarde312           | 6    | 2    | 4    | 3    | 5        | 4.50                 |
| Vardas313            | Pavarde313           | 2    | 7    | 5    | 7    | 7        | 6.30                 |
| Vardas314            | Pavarde314           | 8    | 10   | 7    | 5    | 6        | 6.60                 |
